"","Pvalor","PlotID"
"1","1.84622031295563e-12","5.11.A.1"
"2","0.000149960679004783","5.13.A.1"
"3","3.95791918468205e-11","5.69.A.1"
"4","3.22762206499406e-07","5.72.A.1"
"10","8.11644617580145e-12","5.109.A.1"
"12","6.81328441057379e-10","5.114.A.1"
"17","2.29423468046476e-11","5.129.A.4"
"20","3.01803832171276e-16","5.136.A.1"
"24","7.47361099130938e-09","5.145.A.1"
"27","4.92231544206574e-17","5.169.A.1"
"29","3.84130433986242e-09","5.203.A.1"
"30","7.18653949090768e-28","5.218.A.1"
"32","4.74537429989003e-05","5.233.A.1"
"33","5.94471606964172e-32","5.243.A.1"
"34","7.50382248984903e-20","5.256.A.1"
"35","5.40665072206928e-05","5.261.A.1"
"36","5.12659627193635e-29","5.276.A.1"
"37","1.05178376298192e-33","5.279.A.1"
"38","1.69757975915593e-26","5.283.A.1"
"39","3.22537627226471e-43","5.289.A.1"
"40","1.68690859644268e-32","5.290.A.1"
"41","2.13022765880836e-31","5.293.A.1"
"42","3.78312124519224e-34","5.296.A.1"
"43","3.64840744820793e-51","5.300.A.4"
"44","2.17799647786142e-18","5.308.A.1"
"46","4.23321994767211e-24","5.313.A.1"
"47","6.87484379652389e-17","5.319.A.1"
"48","1.99485581093134e-30","5.329.A.1"
"49","1.14637751090566e-21","5.341.A.1"
"50","8.89402759017864e-15","5.347.A.1"
"51","7.63122787725977e-12","5.349.A.1"
"52","1.72028316952523e-15","5.350.A.1"
"53","1.18582773798738e-22","5.351.A.1"
"54","1.32252670634193e-10","5.353.A.1"
"55","9.89923247408252e-11","5.354.A.1"
"56","3.51376351707836e-06","5.355.A.1"
"57","7.23457876740147e-08","5.356.A.1"
"58","4.55392289310645e-20","5.357.A.1"
"59","5.83174978892134e-10","5.358.A.1"
"60","3.51422381822088e-07","5.360.A.1"
"61","4.48794679647099e-32","5.361.A.1"
"62","4.11288053438073e-09","5.362.A.1"
"63","1.88728841217273e-19","5.364.A.1"
"65","1.06978104703238e-32","5.390.A.1"
"66","5.80514647740645e-19","5.394.A.1"
"67","1.20624198046416e-27","5.401.A.1"
"68","1.94064500810516e-53","5.409.A.1"
"69","2.50254278529495e-15","5.411.A.1"
"71","6.18686717439851e-13","5.421.A.4"
"72","5.60199390090047e-38","5.425.A.1"
"73","6.93264516127123e-16","5.427.A.1"
"74","7.99421807342438e-11","5.434.A.1"
"75","1.27154135248364e-05","5.435.A.1"
"79","9.36395553277789e-48","5.459.A.1"
"80","9.46118972768238e-26","5.463.A.1"
"81","2.97883459569438e-15","5.468.A.1"
"82","2.43365979519168e-07","5.481.A.1"
"83","5.23648252262407e-16","5.485.A.1"
"84","1.3713285143711e-09","5.486.A.1"
"85","1.25575831807602e-23","5.487.A.1"
"87","8.74711003981346e-06","5.489.A.1"
"88","5.55464868076209e-09","5.494.A.1"
"89","8.70537219718869e-18","5.499.A.1"
"90","8.13826764731002e-05","5.505.A.1"
"91","4.2642152320888e-10","5.506.A.1"
"92","1.4315234311427e-13","5.512.A.1"
"93","1.06834900250899e-15","5.515.A.1"
"96","2.61060474943516e-14","5.528.A.1"
"97","7.76717919007144e-09","5.535.A.1"
"98","1.38201702218963e-11","5.538.A.1"
"99","1.61415751026726e-06","5.544.A.1"
"101","1.27156304309841e-18","5.555.A.1"
"103","7.45167553983027e-18","5.562.A.1"
"104","5.67615840012851e-09","5.570.A.1"
"105","1.36536123790708e-11","5.577.A.1"
"106","4.45127444062286e-05","5.578.A.1"
"107","6.644296749742e-28","5.583.A.1"
"108","8.29745384916713e-09","5.584.A.1"
"109","1.64813401347004e-18","5.586.A.1"
"110","2.08051328337137e-07","5.587.A.1"
"111","4.41754647632913e-09","5.589.A.1"
"112","1.03564373481823e-10","5.590.A.1"
"115","1.53764995555521e-25","5.620.A.1"
"116","9.19021327486553e-42","5.625.A.1"
"117","3.32308788987646e-21","5.628.A.1"
"118","5.96563651575518e-15","5.630.A.1"
"119","5.72432552414232e-28","5.637.A.1"
"120","1.32720559999332e-10","5.638.A.1"
"121","1.87879135530579e-10","5.650.A.1"
"122","4.37681377800506e-13","5.655.A.1"
"123","1.43328750892874e-28","5.658.A.1"
"124","5.40145314860564e-41","5.661.A.1"
"126","7.91079675610863e-13","5.669.A.1"
"127","3.79118710831021e-17","5.670.A.1"
"128","2.1341390554523e-41","5.673.A.4"
"129","7.08224360929315e-27","5.675.A.1"
"130","3.98250614107518e-11","5.677.A.1"
"131","1.36210707079652e-42","5.682.A.1"
"132","2.78527730666383e-12","5.683.A.1"
"133","3.51939612306676e-18","5.684.A.1"
"134","4.36645831166271e-49","5.690.A.1"
"135","1.19608286632613e-41","5.695.A.4"
"137","1.26650836114803e-12","5.699.A.1"
"139","1.16313328825417e-19","5.704.A.1"
"141","5.91711630957513e-11","5.707.A.1"
"142","1.04282836591152e-14","5.708.A.1"
"144","1.47645698848743e-10","5.714.A.1"
"145","6.49056732435371e-11","5.715.A.1"
"146","5.27915570151575e-13","5.717.A.1"
"147","7.81205683072534e-09","5.718.A.1"
"148","6.59244963586176e-16","5.719.A.1"
"149","1.28955813337943e-12","5.720.A.4"
"150","4.09547258656196e-16","5.721.A.4"
"151","8.98089485430233e-13","5.723.A.1"
"154","2.29531086754059e-17","5.726.A.1"
"155","1.55173249314776e-11","5.727.A.1"
"156","3.58340698375112e-12","5.730.A.1"
"157","1.78733286892146e-10","5.733.A.1"
"158","5.28102841291769e-13","5.735.A.1"
"159","1.35162366130884e-14","5.741.A.1"
"162","7.12375499574296e-28","5.765.A.1"
"163","2.41802750489603e-10","5.789.A.1"
"164","2.60379090057245e-25","5.790.A.1"
"165","5.86991504931695e-08","5.792.A.1"
"166","4.09428010105672e-15","5.793.A.1"
"167","8.51797539970041e-08","5.807.A.1"
"168","2.70526702568571e-23","5.809.A.1"
"169","4.07827576988669e-16","5.810.A.1"
"170","2.98646514345926e-15","5.812.A.1"
"171","8.64709019418789e-14","5.818.A.1"
"172","4.23398293452696e-13","5.822.A.1"
"173","1.57306518692088e-09","5.825.A.1"
"174","1.09286660302263e-12","5.826.A.1"
"175","5.22704570256911e-13","5.829.A.1"
"176","1.45915671163121e-12","5.841.A.1"
"177","1.7549094746931e-24","5.845.A.1"
"178","3.56482615220851e-17","5.849.A.1"
"179","7.40279692924215e-20","5.852.A.4"
"180","1.10602802033058e-22","5.853.A.1"
"181","9.2868455663292e-05","5.857.A.1"
"183","1.76732998415231e-08","5.860.A.1"
"184","8.51201594784213e-16","5.864.A.4"
"185","2.30249360338334e-08","5.871.A.1"
"187","8.01900881393666e-09","5.874.A.1"
"188","6.10476461180153e-07","5.875.A.1"
"189","7.15936830770297e-09","5.878.A.1"
"190","4.53243964010058e-09","5.882.A.1"
"191","2.74977805787816e-09","5.886.A.1"
"192","6.42105890056628e-13","5.888.A.1"
"193","2.09973093711444e-06","5.901.A.1"
"195","1.60451308790796e-05","5.931.A.1"
"196","1.77315276193756e-08","5.932.A.1"
"197","8.44204185345877e-25","5.935.A.1"
"198","1.78021537972271e-13","5.938.A.1"
"199","3.86567748966924e-09","5.941.A.1"
"200","4.4561536909989e-08","5.943.A.1"
"201","5.32597842880084e-19","5.945.A.1"
"202","3.56062814568594e-16","5.947.A.1"
"203","5.98198851823971e-09","5.948.A.1"
"204","2.33444948292737e-06","5.950.A.1"
"205","4.29375590008366e-14","5.952.A.1"
"206","1.19569132428342e-43","5.959.A.1"
"207","4.14233156462195e-26","5.960.A.1"
"208","1.88599764687896e-16","5.963.A.1"
"209","1.70900718377571e-21","5.967.A.1"
"210","3.45069619220585e-23","5.968.A.1"
"211","7.04170284767395e-46","5.969.A.1"
"212","6.22823567220161e-25","5.972.A.1"
"213","9.16840385675725e-39","5.978.A.1"
"214","4.37819398475606e-45","5.979.A.1"
"215","1.22925912814547e-08","5.984.A.1"
"216","4.42660924041759e-28","5.985.A.1"
"217","1.41945488631281e-17","5.989.A.4C"
"218","3.66538949810715e-16","5.991.A.1"
"219","1.46682167022855e-17","5.995.A.1"
"220","2.87099828845625e-30","5.999.A.1"
"221","1.82010762514258e-10","5.1001.A.1"
"222","6.69312249694245e-08","5.1003.A.1"
"223","7.35975003758117e-08","5.1004.A.1"
"224","1.20344902274622e-23","5.1015.A.4"
"225","1.27325116716719e-20","5.1016.A.1"
"226","6.62129631992084e-16","5.1017.A.4"
"227","1.35352770038007e-10","5.1019.A.1"
"228","5.23896979116917e-14","5.1022.A.1"
"229","1.91040028402528e-20","5.1024.A.1"
"231","8.55597135499391e-14","5.1027.A.1"
"232","8.4981357627614e-40","5.1028.A.1"
"233","1.19940831669478e-08","5.1030.A.1"
"234","1.29502425147769e-07","5.1035.A.1"
"235","3.4788626988722e-11","5.1038.A.1"
"236","4.6656972159091e-16","5.1047.A.1"
